因子名称,大类风格,排序方向,数据类型,因子表,权重
EP_TTM,Value,降序,double,stock_cn_factor_value,0.125
EP_Fwd12M,Value,降序,double,stock_cn_factor_value,0.125
SP_TTM,Value,降序,double,stock_cn_factor_value,0.25
FCFP_TTM,Value,降序,double,stock_cn_factor_value,0.125
OCFP_TTM,Value,降序,double,stock_cn_factor_value,0.125
BP_LR,Value,降序,double,stock_cn_factor_value,0.25
Gr_Q_Earning,Growth,降序,double,stock_cn_factor_growth,0.111111111
Gr_Q_OCF,Growth,降序,double,stock_cn_factor_growth,0.111111111
Gr_Q_Sale,Growth,降序,double,stock_cn_factor_growth,0.111111111
Gr_1Y_Earning,Growth,降序,double,stock_cn_factor_growth,0.111111111
Gr_1Y_OCF,Growth,降序,double,stock_cn_factor_growth,0.111111111
Gr_1Y_Sale,Growth,降序,double,stock_cn_factor_growth,0.111111111
Ac_Q_Earning,Growth,降序,double,stock_cn_factor_growth,0.111111111
Ac_Q_OCF,Growth,降序,double,stock_cn_factor_growth,0.111111111
Ac_Q_Sale,Growth,降序,double,stock_cn_factor_growth,0.111111111
RTN_5D,Momentum,升序,double,stock_cn_factor_momentum,0.027777778
RTN_20D,Momentum,升序,double,stock_cn_factor_momentum,0.027777778
RTN_60D,Momentum,升序,double,stock_cn_factor_momentum,0.027777778
RTN_180D,Momentum,升序,double,stock_cn_factor_momentum,0.027777778
RTN_240D,Momentum,升序,double,stock_cn_factor_momentum,0.027777778
RTN_1200D,Momentum,升序,double,stock_cn_factor_momentum,0.027777778
BS_Amount,Momentum,降序,double,stock_cn_factor_alternative,0.083333333
BS_Volume,Momentum,降序,double,stock_cn_factor_alternative,0.083333333
MaxReturn_20D,Momentum,升序,double,stock_cn_factor_alternative,0.166666667
Price_52WHigh,Momentum,降序,double,stock_cn_factor_alternative,0.166666667
PriceTrend_240D,Momentum,升序,double,stock_cn_factor_alternative,0.166666667
CL,Momentum,升序,double,stock_cn_factor_alternative,0.166666667
ROE_TTM,Quality,降序,double,stock_cn_factor_quality,0.111111111
ROA_TTM,Quality,降序,double,stock_cn_factor_quality,0.111111111
GrossMargin,Quality,降序,double,stock_cn_factor_quality,0.111111111
LTDebt2Equity,Quality,升序,double,stock_cn_factor_quality,0.111111111
CurrentRatio,Quality,降序,double,stock_cn_factor_quality,0.111111111
QuickRatio,Quality,降序,double,stock_cn_factor_quality,0.111111111
CurAsset_Gr,Quality,降序,double,stock_cn_factor_quality,0.333333333
EPS_FY0_R1M,Sentiment,降序,double,stock_cn_factor_sentiment,0.125
EPS_FY0_R3M,Sentiment,降序,double,stock_cn_factor_sentiment,0.125
ROE_FY0_R1M,Sentiment,降序,double,stock_cn_factor_sentiment,0.125
ROE_FY0_R3M,Sentiment,降序,double,stock_cn_factor_sentiment,0.125
Rating_R1M,Sentiment,升序,double,stock_cn_factor_sentiment,0.125
Rating_R3M,Sentiment,升序,double,stock_cn_factor_sentiment,0.125
TargetReturn,Sentiment,降序,double,stock_cn_factor_sentiment,0.25
Ln_FloatCap,Size,升序,double,stock_cn_factor_size,0.25
Ln_MktCap,Size,升序,double,stock_cn_factor_size,0.25
Ln_Asset,Size,升序,double,stock_cn_factor_size,0.25
Ln_Sales,Size,升序,double,stock_cn_factor_size,0.25
RealizedVolatility_60D,Volatility,升序,double,stock_cn_factor_volatility,0.5
RealizedVolatility_240D,Volatility,升序,double,stock_cn_factor_volatility,0.5
ILLIQ_20D,Liquidity,降序,double,stock_cn_factor_liquidity,0.166666667
ILLIQ_240D,Liquidity,降序,double,stock_cn_factor_liquidity,0.166666667
AmountAvg_20D,Liquidity,升序,double,stock_cn_factor_liquidity,0.166666667
AmountAvg_240D,Liquidity,升序,double,stock_cn_factor_liquidity,0.166666667
TurnoverAvg_20D,Liquidity,升序,double,stock_cn_factor_liquidity,0.166666667
TurnoverAvg_240D,Liquidity,升序,double,stock_cn_factor_liquidity,0.166666667
SmallTradeFlow_1D,Technical,升序,double,stock_cn_factor_money_flow,0.333333333
RealizedSkewness_240D,Technical,升序,double,stock_cn_factor_volatility,0.333333333
VolCV_20D,Technical,升序,double,stock_cn_factor_alternative,0.333333333
